Nº DO LOTE;ENTRADA DE SAL EM FINO;ESTOQUE DE SAL EM FINO AU;DATA DA ENTREGA;Nº DO PEDIDO;data;NOME DO CLIENTE ; PEDIDOS EM FINO ; SEDEX ;AMOSTRAS E TESTES; PAGAMENTO DE TEOR ; PEDIDOS EM SAL ;METAL EM SAL;;;;;;;;
1105;;504,82;01/03/2021;29663;;FENIX; 68,03 ;;;; 100,00 ;742,0799749;;;;;;;;
1105;;495,13;01/04/2021;29664;;MARCEL AIRES; 9,69 ;;;; 14,24 ;727,8356749;;;;;;;;
1105;;485,13;01/04/2021;29665;;CORREA; 10,00 ;;;; 14,70 ;713,1356749;;;;;;;;
1105;;455,13;01/04/2021;29666;;PAULO BRUM; 30,00 ;;;; 44,10 ;669,0356749;;;;;;;;
1105;;425,13;04/04/2021;29667;;PAULO BRUM; 30,00 ;;;; 44,10 ;624,9356749;;;;;;;;
1105;;415,13;08/04/2021;29668;;CORREA; 10,00 ;;;; 14,70 ;610,2356749;;;;;;;;
1105;;400,13;08/04/2021;29669;;MICHESTER; 15,00 ;;;; 22,05 ;588,1856749;;;;;;;;
1105;;360,13;08/04/2021;29670;;PUZZUOLLI; 40,00 ;;;; 58,80 ;529,3856749;;;;;;;;
1105;;350,13;08/04/2021;29671;;REINALDO; 10,00 ;;;; 14,70 ;514,6856749;;;;;;;;
1105;;340,13;08/04/2021;29672;;LUIZ JOANA; 10,00 ;;;; 14,70 ;499,9856749;;;;;;;;
1105;;300,13;08/04/2021;29673;;MS BRINDES; 40,00 ;;;; 58,80 ;441,1856749;;;;;;;;
1105;;285,13;08/04/2021;29674;;RD BRINDES; 15,00 ;;;; 22,05 ;419,1356749;;;;;;;;
1105;;280,13;08/04/2021;29675;;BIJUMAIS; 5,00 ;;;; 7,35 ;411,7856749;;;;;;;;
1105;;212,10;08/04/2021;29676;;FENIX; 68,03 ;;;; 100,00 ;311,7815749;;;;;;;;
1105;;178,08;08/04/2021;29677;;FENIX; 34,01 ;;;; 50,00 ;261,7815829;;;;;;;;
1106;1509,86;1635,94;14/04/2021;29678;;MIX METAIS; 50,00 ;;2;; 76,44 ;2404,835783;;;;;;;;
1106;;660,94;08/04/2021;29679;;BRUNA; 975,00 ;;;; 1.433,25 ;971,5857829;;;;;;;;
1106;;655,94;08/04/2021;29680;;NATHY; 5,00 ;;;; 7,35 ;964,2357829;;;;;;;;
1106;;645,94;08/04/2021;29681;;PW ACESSORIOS; 10,00 ;;;; 14,70 ;949,5357829;;;;;;;;
1106;;615,94;08/04/2021;29682;;PAULO BRUM; 30,00 ;;;; 44,10 ;905,4357829;;;;;;;;
1106;;605,94;08/04/2021;29683;;loefler; 10,00 ;;;; 14,70 ;890,7357829;;;;;;;;
1106;;595,94;08/04/2021;29684;;CORREA; 10,00 ;;;; 14,70 ;876,0357829;;;;;;;;
1106;;580,94;08/04/2021;29685;;MICHESTER; 15,00 ;;;; 22,05 ;853,9857829;;;;;;;;
1106;;570,94;08/04/2021;29686;;juni jully; 10,00 ;;;; 14,70 ;839,2857829;;;;;;;;
1106;;530,94;08/04/2021;29687;;RICARDO PUZZUOLLI; 40,00 ;;;; 58,80 ;780,4857829;;;;;;;;
1106;;510,94;08/04/2021;29688;;PELEGRINO; 20,00 ;;;; 29,40 ;751,0857829;;;;;;;;
1106;;450,94;08/04/2021;29689;;CONTRESS; 60,00 ;;;; 88,20 ;662,8857829;;;;;;;;
1106;;440,94;08/04/2021;29690;;CORREA; 10,00 ;;;; 14,70 ;648,1857829;;;;;;;;
1106;;392,69;08/04/2021;29691;;HECTOR; 48,25 ;;;; 70,93 ;577,2582829;;;;;;;;
1106;;387,69;08/04/2021;29692;;artshow; 5,00 ;;;; 7,35 ;569,9082829;;;;;;;;
1106;;382,69;08/04/2021;29693;;Nathy; 5,00 ;;;; 7,35 ;562,5582829;;;;;;;;
